galname,full-PACS_70,full-PACS_100,full-PACS_160,full-SPIRE_250,full-SPIRE_350,full-SPIRE_500,full-dust luminosity,full-dust mass,full-dust temperature,pred-PACS_70,pred-PACS_100,pred-PACS_160,pred-SPIRE_250,pred-SPIRE_350,pred-SPIRE_500,pred-dust luminosity,pred-dust mass,pred-dust temperature,fullerr-PACS_70,fullerr-PACS_100,fullerr-PACS_160,fullerr-SPIRE_250,fullerr-SPIRE_350,fullerr-SPIRE_500,fullerr-dust luminosity,fullerr-dust mass,fullerr-dust temperature,prederr-PACS_70,prederr-PACS_100,prederr-PACS_160,prederr-SPIRE_250,prederr-SPIRE_350,prederr-SPIRE_500,prederr-dust luminosity,prederr-dust mass,prederr-dust temperature,color-PACS_70,color-PACS_100,color-PACS_160,color-SPIRE_250,color-SPIRE_350,color-SPIRE_500,color-dust luminosity,color-dust mass,color-dust temperature
G15.DR1.2454,1.1955659981800202,1.6858597567486049,1.9459962350932336,1.8675157586551325,1.6216512334968114,1.2651991974169452,2908567396.5508285,16025121.024088707,18.493042175508048,1.290792,1.6944532,1.8947263,1.7926471,1.5389129,1.1783316,3399656642.3034797,15964017.89920689,20.46537017934611,0.22960559514445542,0.1663085248624225,0.08571378732015941,0.0582746057592527,0.07007022317489206,0.08624710811302051,585244602.4719101,6962384.152282818,2.122412600062105,0.20035246,0.15707594,0.12400084,0.13688311,0.15788537,0.17651637,1358725737.357088,10371850.607007392,2.4952662,1.3607506189294307,2.3381844135706262,4.116426121273018,5.539770119939085,5.0552564087929115,4.207044824082385,0.20161925916498713,0.27715907260446293,0.014502235309686771
G12.DR1.6102,1.1313603935854686,1.5681016545383957,1.7526167051937946,1.637800576888481,1.3779692845749028,1.0162647479718463,131965221.04546657,742884.5007168476,19.244586716467087,1.1236963,1.5830251,1.8230177,1.7478474,1.4996037,1.1767591,197383873.65424252,1890433.835960302,18.63915633306558,0.31733776346381587,0.223349049342269,0.11488785705079078,0.06249241452350764,0.0784263788858248,0.10581976850941727,41962228.13639927,500507.5583360934,3.0737641685561856,0.20680869,0.16422266,0.13806662,0.1646641,0.19769628,0.23120111,186320469.95208105,1927625.697076141,3.3751714,0.9270402092799607,1.5822722661244328,2.5563334178228403,3.1148746952012845,3.4830575063670333,2.7296835985476497,0.009140836469043744,0.011625207421228858,0.006779357469838259
G09.DR1.6516,1.4815948098222789,1.8425331725011382,1.950101381374142,1.7661514366581454,1.475084689373974,1.0866126375910317,9604758816.69717,19059614.432497267,22.317715293840784,1.5760305,1.9306189,2.0309305,1.8573619,1.5525031,1.1757641,13814011792.516912,24715917.282308813,22.83120156007008,0.25418495984590833,0.1789622727422225,0.09508037148044209,0.0667159975098257,0.08184079271214585,0.10182916224255718,2456430824.212177,10834277.471014142,3.222065583135578,0.1678079,0.12937106,0.09987108,0.109539986,0.12596926,0.14110272,4117338245.520175,12623124.298058113,2.1354058,1.733840195624927,2.456981092368542,4.248682571201177,4.792881083215621,5.0040785351573,4.201373971195629,0.23047716079208017,0.2937910726695089,0.020445828452179238
G12.DR1.49,1.2787147169112196,1.7163138154795814,1.8699419025742077,1.7027283533497153,1.4110436689359829,1.022839250329186,12142206994.773981,33492092.4284095,20.314643506149498,1.2687808,1.6999197,1.8754752,1.7423818,1.469979,1.0792147,10398854139.974228,31738369.072982576,20.17525482984235,0.13333340232947852,0.09398455504711085,0.05026750960596027,0.03293056795168038,0.03740298033179941,0.04471967848928416,1546724070.627123,7592106.552345783,1.2021251508135806,0.15786223,0.123503305,0.09719284,0.106886946,0.123838134,0.14024757,4121398718.016643,18730255.57813162,2.177567,1.4496951236054636,2.342824402775255,3.9985464547900214,4.570192380720075,4.585678912815663,4.346332319462657,0.3531630706977272,0.3196830366574574,0.017350142310859944
G09.DR1.15474,1.2483587668894585,1.6860913061053955,1.899050252057184,1.8076347571397813,1.5646177818313087,1.21433927320117,3050167493.6242537,18030172.86205676,19.448708175148415,1.2609867,1.6489601,1.8445354,1.7331587,1.4927601,1.1389493,2635080097.09867,12469152.991828736,20.22646902386953,0.2983971739650002,0.22965758515246534,0.12028580618772254,0.06242422035282514,0.08744853871755674,0.12554690947853286,907146618.4635484,14756204.929292524,3.1573203551507754,0.20471504,0.16117407,0.12978767,0.14612933,0.169859,0.19150111,1134751923.1179636,8424333.333399346,2.62114,1.424089640710128,1.8967097204506727,3.1993340313485152,4.562824851491097,5.143414304557716,4.692128657152543,0.18138611688360748,0.16970911170582711,0.017537281751668292
G12.DR1.514,1.7194005687571785,2.0776365458290553,2.147720748198176,1.9163845359162177,1.5995766713964021,1.1894968931289236,45299668561.01381,50706880.457961366,23.68703166566326,1.8454083,2.1466227,2.1545546,1.8876201,1.5578108,1.133428,40052433146.35606,39857916.71022265,24.7708663745685,0.1150031122412027,0.06878662447179909,0.03391772502565459,0.036877048467797685,0.045518186171275905,0.052487207407546685,4836105682.231513,10748591.71080071,1.519863428818011,0.14427531,0.11150511,0.08559988,0.09303879,0.1063609,0.118554026,10078891648.118055,17369326.484293785,1.8189907,1.0939079507804186,2.0567658704168608,5.52986202150151,6.467340049041093,5.859484603386608,5.03230748724819,0.1577163123685662,0.23818678360751944,0.010766062115591519
G12.DR1.12144,1.5633172678010312,1.9660741004986853,2.128017732623329,2.003431797663155,1.747004225344602,1.3862067413788166,4599497100.496479,18993994.706291113,21.086964776598002,1.2832409,1.7440116,2.047979,2.0368922,1.8380599,1.5213983,2737623918.1250877,33552437.793855526,18.23534010482145,0.36140983360237966,0.2561501216557424,0.14902741892705657,0.09887895667004448,0.11110800741602789,0.13961520485918266,1954873038.4870658,15981366.383501401,4.4428305539935025,0.24541852,0.19227628,0.15296906,0.17485498,0.20462081,0.23391986,998457854.341123,22835013.992008712,2.788058,0.5926833395495814,0.9643017140134785,5.043712804834262,2.754922074430467,0.7165788701437161,0.3368480992900914,0.05355685957205359,0.17424000967309447,0.0029581247183832135
G12.DR1.17490,1.0084849673543197,1.41631602806241,1.6572866578416383,1.5897119658772918,1.3586121290424293,1.0164649274200008,1780062002.5999496,11072195.891544385,18.81533949906014,1.2561278,1.6544654,1.8584933,1.7642184,1.5503782,1.1944708,2451573640.815336,17025007.924807668,18.846149447092618,0.2819154653384231,0.23151087325396433,0.13288925673941115,0.09672908813498628,0.11658493588592689,0.14654790044005248,458621322.5398485,8567691.336882833,4.182891373307311,0.28392503,0.24520831,0.19557567,0.20103566,0.22041178,0.23703556,1131419757.4936857,13828951.83379958,3.7181232,0.678113555224288,0.5583533487306876,0.8786124668026458,1.809477141094326,2.009005694764521,2.373081006836436,0.10346257152053864,0.20020171150198374,0.008186952917502951
G09.DR1.3021,1.4589159098588254,1.7670643616061699,1.7972719237629822,1.5444355064087227,1.220907490378756,0.8072547587903218,28512097517.899086,28229518.184462924,25.070697052738645,1.1840192,1.5917742,1.7780659,1.6392896,1.3828107,1.0130523,18013132613.607513,52396920.66432456,21.037662518741577,0.2079907861719825,0.14459570111874173,0.0749320296640296,0.048884493207459516,0.06083529796188055,0.07623194066489497,7326403596.132741,12359384.055246165,2.5182890434714285,0.18823019,0.14931916,0.116436526,0.1265887,0.14365138,0.15889627,5695003485.7207365,26500167.869511254,2.0691493,0.4979116093429112,0.9334775204618151,2.3895532316278856,1.9261113750427614,1.5241709786789794,1.2517453039991322,0.11390954699807335,0.08754528915054714,0.006570441378216462
G09.DR1.23761,1.2139419009358512,1.7328232938613792,2.105351617082824,2.1554331305440084,1.9871269674909067,1.6878025338357572,4559174957.303366,67596473.70244189,16.63330236803213,1.1252577,1.6470801,2.0688243,2.132959,1.9900234,1.6971786,3106749853.905865,71961164.37153968,15.85613440793873,0.33674825609687503,0.28025775097465505,0.1651689733627637,0.09373689560587682,0.10389773964056213,0.13459519767269026,1599685093.266266,46286486.54738333,3.4663948420606543,0.26305038,0.21094614,0.17348903,0.19751069,0.23366036,0.26807436,1140058723.010294,52711248.395387076,3.1090183,0.8625590313343023,1.646915251921374,6.348990137020188,0.8585901080799485,0.23897354594475678,0.17757935572587033,0.10401113980130736,0.08898474839368248,0.0015465451033684647
